,Code,School
1157,624,Sam Houston St.
1158,625,Samford
1159,627,San Diego
1160,502122,San Diego Christian
1161,626,San Diego St.
1162,629,San Francisco
1163,628,San Fran. St.
1164,630,San Jose St.
1165,631,Santa Clara
1166,30163,Sarah Lawrence
1167,506458,Saskatchewan (CAN)
1168,632,Savannah St.
1169,506483,SCAD Atlanta
1170,506402,SCAD Savannah
1171,1355,Schreiner
1172,506082,Science & Arts Okla.
1173,28594,USciences
1174,633,Scranton
1175,634,Seattle Pacific
1176,1356,Seattle U
1177,635,Seton Hall
1178,30063,Seton Hill
1179,652,Sewanee
1180,636,Shaw
1181,504767,Shawnee St.
1182,637,Shenandoah
1183,10870,Shepherd
1184,506099,Sheridan (CAN)
1185,638,Shippensburg
1186,30151,Shorter
1187,639,Siena
1188,504800,Siena Heights
1189,506497,Sierra Nevada
1190,506511,Simmons (KY)
1191,640,Simmons
1192,30127,Simon Fraser
1193,504809,Simpson (CA)
1194,641,Simpson
1195,30128,Sioux Falls
1196,642,Skidmore
1197,643,Slippery Rock
1198,644,Smith
1199,506364,Soka
1200,645,Sonoma St.
1201,646,South Alabama
1202,648,South Carolina
1203,11276,S.C. Aiken
1204,647,South Carolina St.
1205,10411,USC Upstate
1206,650,South Dakota
1207,30139,South Dakota Mines
1208,649,South Dakota St.
1209,651,South Fla.
1210,654,Southeast Mo. St.
1211,506151,Southeastern (FL)
1212,504906,Southeastern Bapt.
1213,655,Southeastern La.
1214,1371,Southeastern Okla.
1215,1376,Southern Ark.
1216,657,Southern California
1217,658,Southern Conn. St.
1218,659,Southern Ill.
1219,660,SIUE
1220,661,Southern Ind.
1221,662,Southern Me.
1222,663,SMU
1223,664,Southern Miss.
1224,30152,Southern Nazarene
1225,468,Southern N.H.
1226,506027,Southern Ore.
1227,665,Southern U.
1228,667,Southern Utah
1229,30164,Southern Va.
1230,30192,Southern Wesleyan
1231,504980,Southern-N.O.
1232,506012,Southwest (NM)
1233,2755,Southwest Baptist
1234,8736,Southwest Minn. St.
1235,506063,Southwestern (KS)
1236,505028,S'western Adventist
1237,506149,S'western Assemblies
1238,506285,Southwestern Christ.
1239,8744,Southwestern Okla.
1240,8746,Southwestern (TX)
1241,23260,Spalding
1242,505040,Spring Arbor
1243,30191,Spring Hill
1244,673,Springfield
1245,593,St. Anselm
1246,594,Saint Augustine's
1247,596,St. Bonaventure
1248,597,St. Catherine
1249,598,St. Cloud St.
1250,1334,St. Edward's
1251,599,St. Francis Brooklyn
1252,600,Saint Francis (PA)
1253,601,St. John Fisher
1254,603,St. John's (NY)
1255,602,Saint John's (MN)
1256,8687,St. Joseph (CT)
1257,30072,St. Joseph's (Brkln)
1258,1340,St. Joseph's (L.I.)
1259,606,Saint Joseph's
1260,607,St. Lawrence
1261,608,Saint Leo
1262,609,Saint Louis
1263,1343,Saint Martin's
1264,612,Saint Mary's (MN)
1265,1346,St. Mary's (TX)
1266,610,Saint Mary's (CA)
1267,8688,St. Mary's (IN)
1268,611,St. Mary's (MD)
1269,613,Saint Michael's
1270,614,St. Norbert
1271,615,St. Olaf
1272,617,Saint Peter's
1273,1347,Saint Rose
1274,618,St. Scholastica
1275,2810,St. Thomas (TX)
1276,1348,St. Thomas Aquinas
1277,620,St. Thomas (MN)
1278,30064,Saint Vincent
1279,674,Stanford
1280,675,Staten Island
1281,676,SFA
1282,506407,Stephens College
1283,506073,Sterling (KS)
1284,678,Stetson
1285,679,Stevens
1286,21852,Stevenson
1287,506508,Stillman
1288,681,Stockton
1289,682,Stonehill
1290,683,Stony Brook
1291,684,Suffolk
1292,1390,Sul Ross St.
1293,506380,SUNY ESF
1294,685,Susquehanna
1295,686,Swarthmore
1296,687,Sweet Briar
1297,688,Syracuse
1298,506050,Tabor
1299,505160,Talladega
1300,689,Tampa
1301,506546,TAMU-San Antonio
1302,1395,Tarleton St.
1303,506071,Taylor (IN)
1304,506394,TBA
1305,690,Temple
1306,691,Tennessee St.
1307,692,Tennessee Tech
1308,505220,Tenn. Wesleyan
1309,693,Chattanooga
1310,694,Tennessee
1311,695,UT Martin
1312,697,Texas A&M
1313,30090,Tex. A&M Int'l
1314,199,Tex. A&M-Commerce
1315,26172,A&M-Corpus Christi
1316,696,Tex. A&M-Kingsville
1317,506487,Tex. A&M-Texarkana
1318,702,UT Arlington
1319,698,TCU
1320,505260,Texas Col.
1321,1400,Texas Lutheran
1322,30088,Tex. Permian Basin
1323,536,UTRGV
1324,699,Texas Southern
1325,670,Texas St.
1326,700,Texas Tech
1327,506403,Texas Wesleyan
1328,701,Texas Woman's
1329,703,Texas
1330,23121,Texas-Dallas
1331,704,UTEP
1332,706,UTSA
1333,30028,Texas-Tyler
1334,707,Thiel
1335,506315,Thomas (GA)
1336,2758,Thomas (ME)
1337,543,Jefferson
1338,506433,Thompson Rivers (CN)
1339,1403,Tiffin
1340,506224,To Be Announced
1341,505303,Toccoa Falls
1342,709,Toledo
1343,506362,Toronto (CAN)
1344,505310,Tougaloo
1345,711,Towson
1346,28749,Transylvania
1347,30002,Trevecca Nazarene
1348,30037,Trine
1349,505352,Trinity (FL)
1350,505332,Trinity Baptist
1351,505334,Trinity Bible (ND)
1352,505350,Trinity Christian
1353,713,Trinity (CT)
1354,506107,Trinity Int'l
1355,715,Trinity (TX)
1356,23413,Trinity Washington
1357,506459,Trinity Western (CN)
1358,716,Troy
1359,506361,Truett-McConnell
1360,499,Truman
1361,717,Tufts
1362,718,Tulane
1363,719,Tulsa
1364,505378,Turabo
1365,12830,Tusculum
1366,720,Tuskegee
1367,506543,Thomas More
1368,721,Air Force
1369,722,Coast Guard
1370,724,Merchant Marine
1371,725,Army West Point
1372,726,Navy
1373,506105,Union (KY)
1374,505398,Union (NE)
1375,727,Union (NY)
1376,30153,Union (TN)
1377,505410,Unity
1378,506176,UC Clermont
1379,728,Upper Iowa
1380,30104,Urbana
1381,730,Ursinus
1382,30140,Ursuline
1383,732,Utah
1384,731,Utah St.
1385,30024,Utah Valley
1386,733,Utica
1387,734,Valdosta St.
1388,506055,Valley City St.
1389,30166,Valley Forge
1390,735,Valparaiso
1391,506434,Vancouver Island
1392,736,Vanderbilt
1393,504925,Vanguard
1394,737,Vassar
1395,506348,Vaughn
1396,738,Vermont
1397,505487,Vermont Tech
1398,506436,Victoria (CAN)
1399,505489,Villa Maria
1400,739,Villanova
1401,506190,Virgin Islands
1402,746,Virginia
1403,30181,UVa-Wise
1404,740,VCU
1405,741,VMI
1406,742,Virginia Tech
1407,743,Virginia St.
1408,744,Virginia Union
1409,745,Va. Wesleyan
1410,506391,Virginia-Lynchburg
1411,505533,Viterbo
1412,505535,Voorhees
1413,747,Wabash
1414,748,Wagner
1415,749,Wake Forest
1416,506242,Waldorf
1417,506100,Walla Walla
1418,30141,Walsh
1419,505562,Warner
1420,505560,Warner Pacific
1421,30236,Warren Wilson
1422,750,Wartburg
1423,2814,Washburn
1424,756,Washington
1425,752,Wash. & Lee
1426,506471,Washington Adventist
1427,751,Wash. & Jeff.
1428,753,Washington Col.
1429,754,Washington St.
1430,755,WashU
1431,506177,Waterloo (CAN)
1432,505610,Wayland Baptist
1433,757,Wayne St. (MI)
1434,1433,Wayne St. (NE)
1435,1434,Waynesburg
1436,505630,Webb Inst.
1437,505632,Webber Int'l
1438,758,Weber St.
1439,759,Webster
1440,506469,Welch
1441,760,Wellesley
1442,761,Wells
1443,762,Wentworth
1444,763,Wesley
1445,764,Wesleyan (CT)
1446,14718,Wesleyan (GA)
1447,358,West Ala.
1448,765,West Chester
1449,506319,West Coast Baptist
1450,11740,West Florida
1451,766,West Ga.
1452,1438,West Liberty
1453,767,West Tex. A&M
1454,1439,West Virginia St.
1455,506393,West Va. Tech
1456,768,West Virginia
1457,9630,West Va. Wesleyan
1458,506536,Westcliff
1459,769,Western Caro.
1460,2759,Western Colo.
1461,770,Western Conn. St.
1462,771,Western Ill.
1463,772,Western Ky.
1464,774,Western Mich.
1465,775,Western New Eng.
1466,1445,Western N.M.
1467,506443,W'ernw Ontario (CAN)
1468,1446,Western Ore.
1469,1448,Western Wash.
1470,777,Westfield St.
1471,1450,Westminster (MO)
1472,1451,Westminster (PA)
1473,30209,Westminster (UT)
1474,505775,Westmont
1475,778,Wheaton (IL)
1476,779,Wheaton (MA)
1477,12799,Wheeling
1478,780,Whitman
1479,781,Whittier
1480,1454,Whitworth
1481,782,Wichita St.
1482,783,Widener
1483,505825,Wilberforce
1484,500077,Wiley
1485,784,Wilkes
1486,785,Willamette
1487,786,William & Mary
1488,505850,William Carey
1489,506290,William Jessup
1490,30120,William Jewell
1491,787,Wm. Paterson
1492,17094,William Peace
1493,506401,William Penn
1494,30073,William Smith
1495,506076,William Woods
1496,505872,Williams Baptist
1497,789,Williams
1498,1460,Wilmington (DE)
1499,1461,Wilmington (OH)
1500,12973,Wilson
1501,506389,Windsor (CAN)
1502,1462,Wingate
1503,506425,Winnipeg (CAN)
1504,790,Winona St.
1505,791,Winston-Salem
1506,792,Winthrop
1507,8911,Wis. Lutheran
1508,793,Wis.-Eau Claire
1509,794,Green Bay
1510,795,Wis.-La Crosse
1511,796,Wisconsin
1512,797,Milwaukee
1513,798,Wis.-Oshkosh
1514,799,Wis.-Parkside
1515,800,Wis.-Platteville
1516,801,UW-River Falls
1517,802,Wis.-Stevens Point
1518,803,Wis.-Stout
1519,804,Wis.-Superior
1520,805,Wis.-Whitewater
1521,806,Wittenberg
1522,2915,Wofford
1523,807,Wooster
1524,808,WPI
1525,809,Worcester St.
1526,506325,Wright St.-Lake
1527,810,Wright St.
1528,811,Wyoming
1529,506000,Xavier (LA)
1530,812,Xavier
1531,813,Yale
1532,506504,Yellowstone Chris.
1533,814,Yeshiva
1534,506494,York (CAN)
1535,500575,York (NE)
1536,815,York (PA)
1537,2730,York (NY)
1538,30154,Young Harris
1539,817,Youngstown St.

