,Code,School
269,141,The Citadel
270,480,CCNY
271,30058,Claflin
272,142,Claremont-M-S
273,143,Clarion
274,144,Clark Atlanta
275,958,Clarks Summit
276,145,Clark (MA)
277,506382,Clarke
278,146,Clarkson
279,20576,Clayton St.
280,506322,Cleary
281,147,Clemson
282,148,Cleveland St.
283,149,Coastal Carolina
284,502747,Coastal Ga.
285,30083,Cobleskill St.
286,150,Coe
287,1023,Coker
288,151,Colby
289,152,Colby-Sawyer
290,153,Colgate
291,157,Colorado
292,11403,Colo. Christian
293,154,Colorado Col.
294,11416,Colorado Mesa
295,155,Colo. Sch. of Mines
296,156,Colorado St.
297,2720,Colorado St.-Pueblo
298,9754,UC-Colo. Springs
299,501097,Columbia (MO)
300,501098,Columbia (SC)
301,506287,Columbia Bible (CAN)
302,506478,Columbia Int'l
303,158,Columbia
304,159,Columbus St.
305,1028,Concord
306,501123,Concordia (MI)
307,506061,Concordia (NE)
308,161,Concordia-M'head
309,162,Concordia (NY)
310,160,Concordia Chicago
311,30199,Concordia (CA)
312,30200,Concordia Portland
313,24400,Concordia (TX)
314,1036,Concordia Wisconsin
315,506358,Concordia-Montreal
316,9081,Concordia-St. Paul
317,164,UConn
318,163,Connecticut Col.
319,8935,Converse
320,501167,Cooper Union
321,165,Coppin St.
322,505690,Corban
323,166,Cornell College
324,167,Cornell
325,501182,Cornerstone
326,168,SUNY Cortland
327,506533,Cottey
328,30111,Covenant
329,169,Creighton
330,506350,Crowley's Ridge
331,30035,Crown (MN)
332,506352,Culinary Institute
333,506032,Culver-Stockton
334,501207,Cumberland (TN)
335,506101,Cumberlands (KY)
336,170,Curry
337,1059,D'Youville
338,30174,Daemen
339,506066,Dakota St.
340,506033,Dakota Wesleyan
341,1044,Dallas
342,1045,DBU
343,501242,Dallas Christian
344,506472,Dalton St.
345,172,Dartmouth
346,30221,Davenport
347,173,Davidson
348,174,Davis & Elkins
349,506376,Dayspring Bible
350,175,Dayton
351,30219,Dean
352,1050,Defiance
353,180,Delaware
354,178,Delaware St.
355,179,Delaware Valley
356,30225,SUNY Delhi
357,181,Delta St.
358,182,Denison
359,183,Denver
360,176,DePaul
361,177,DePauw
362,20,DeSales
363,184,Detroit Mercy
364,185,Dickinson
365,506123,Dickinson St.
366,501365,Dillard
367,506505,Diné
368,186,Dist. Columbia
369,30095,Dixie St.
370,506020,Doane
371,30118,Dominican (CA)
372,8956,Dominican (NY)
373,1332,Dominican (IL)
374,501390,Dordt
375,506462,Douglas (CAN)
376,189,Drake
377,190,Drew
378,191,Drexel
379,1057,Drury
380,192,Dubuque
381,193,Duke
382,194,Duquesne
383,195,Earlham
384,196,East Carolina
385,8965,East Central
386,197,East Stroudsburg
387,198,ETSU
388,1062,East Tex. Baptist
389,506193,East-West U.
390,200,Eastern Conn. St.
391,201,Eastern Ill.
392,202,Eastern Ky.
393,203,East. Mennonite
394,204,Eastern Mich.
395,1064,Eastern Nazarene
396,206,Eastern N.M.
397,506406,Eastern Ore.
398,8968,Eastern
399,207,Eastern Wash.
400,506323,Ecclesia
401,208,Eckerd
402,1066,Edgewood
403,209,Edinboro
404,501555,Edward Waters
405,210,Elizabeth City St.
406,211,Elizabethtown
407,212,Elmhurst
408,213,Elmira
409,532,Elms
410,1068,Elon
411,506341,Embry-Riddle (AZ)
412,9680,Embry-Riddle (FL)
413,214,Emerson
414,30193,Emmanuel (GA)
415,215,Emmanuel (MA)
416,506096,Emmaus
417,216,Emory & Henry
418,217,Emory
419,1071,Emporia St.
420,8981,Endicott
421,1072,Erskine
422,218,Eureka
423,506080,Evangel
424,219,Evansville
425,506184,Evergreen St.
426,220,Fairfield
427,221,FDU-Florham
428,222,Fairleigh Dickinson
429,1076,Fairmont St.
430,501657,Faith Bapt. Bible
431,506541,Fanshawe (CAN)
432,27892,Farmingdale St.
433,501659,Faulkner
434,223,Fayetteville St.
435,23157,Felician
436,224,Ferris St.
437,225,Ferrum
438,1079,Findlay
439,30032,Finlandia
440,501678,Fisher
441,506381,Fisk
442,227,Fitchburg St.
443,506170,Five Towns
444,30092,Flagler
445,235,Florida
446,228,Florida A&M
447,229,Fla. Atlantic
448,506300,Florida Col.
449,28755,FGCU
450,230,Florida Tech
451,231,FIU
452,501725,Fla. Memorial
453,506479,Fla. National
454,233,Fla. Southern
455,234,Florida St.
456,11538,Fontbonne
457,236,Fordham
458,9011,Fort Hays St.
459,1083,Fort Lewis
460,237,Fort Valley St.
461,238,Framingham St.
462,1085,Francis Marion
463,30069,Franciscan
464,239,Franklin & Marshall
465,2694,Franklin
466,241,Franklin Pierce
467,506454,Fraser Valley (CAN)
468,242,Fredonia
469,501810,Freed-Hardeman
470,30147,Fresno Pacific
471,501826,Friends
472,243,Frostburg St.
473,244,Furman
474,245,Gallaudet
475,246,Gannon
476,1092,Gardner-Webb
477,247,SUNY Geneseo
478,30084,Geneva
479,1094,George Fox
480,248,George Mason
481,249,George Washington
482,506003,Georgetown (KY)
483,251,Georgetown
484,257,Georgia
485,1096,Georgia College
486,506449,Georgia Gwinnett
487,255,Georgia Tech
488,253,Ga. Southern
489,1097,Ga. Southwestern
490,254,Georgia St.
491,9004,Georgian Court
492,258,Gettysburg
493,1098,Glenville St.
494,8366,Goldey-Beacom
495,260,Gonzaga
496,1099,Gordon
497,501955,Goshen
498,1467,Goucher
499,506495,Governors St.
500,501960,Grace (IN)
501,501962,Grace (NE)
502,501961,Grace Christian (MI)
503,506062,Graceland (IA)
504,261,Grambling
505,1104,Grand Canyon
506,262,Grand Valley St.
507,501982,Grand View
508,501987,Great Lake Christian
509,263,Greensboro
510,1111,Greenville
511,264,Grinnell
512,265,Grove City
513,506437,Guelph (CAN)
514,1112,Guilford
515,266,Gust. Adolphus
516,12399,Gwynedd Mercy
517,267,Hamilton
518,268,Hamline
519,269,Hampden-Sydney
520,270,Hampton
521,502043,Hannibal-La Grange
522,1115,Hanover
523,271,Hardin-Simmons
524,1116,Harding
525,502060,Harris-Stowe
526,272,Hartford
527,273,Hartwick
528,275,Harvard
529,506153,Haskell
530,506007,Hastings
531,276,Haverford
532,277,Hawaii
533,2697,Hawaii Hilo
534,2696,Hawaii Pacific
535,278,Heidelberg
536,1123,Henderson St.
537,1124,Hendrix
538,19651,High Point
539,8398,Hilbert
540,280,Hillsdale
541,281,Hiram
542,282,Hobart
543,283,Hofstra
544,284,Hollins
545,506345,Holy Cross (IN)
546,285,Holy Cross
547,1126,Holy Family
548,504805,Holy Fam. Col. (WI)
549,30175,Holy Names
550,8404,Hood
551,286,Hope
552,504017,Hope Int'l
553,30160,Houghton
554,288,Houston
555,287,Houston Baptist
556,506338,Houston-Victoria
557,2741,Howard Payne
558,290,Howard
559,506492,Humber (CAN)
560,291,Humboldt St.
561,292,Hunter
562,1130,Huntingdon
563,502195,Huntington
564,1133,Husson
565,502215,Huston-Tillotson
566,295,Idaho
567,294,Idaho St.
568,500088,Col. of Idaho
569,297,Illinois Col.
570,30172,IIT
571,299,Illinois St.
572,300,Ill. Wesleyan
573,302,UIC
574,30050,Ill. Springfield
575,301,Illinois
576,303,Immaculata
577,2743,UIW
578,502288,Ind.-East
579,502278,Ind.-Kokomo
580,502290,Ind.-Northwest
581,502302,Ind.-South Bend
582,502300,Ind.-Southeast
583,305,Indiana St.
584,502330,Indiana Tech
585,307,Indiana (PA)
586,502332,Ind. Wesleyan
587,306,Indiana
588,2699,IUPUI
589,309,UIndy
590,502335,Int. Am.-San German
591,310,Iona
592,312,Iowa
593,311,Iowa St.
594,30173,Iowa Wesleyan
595,313,Ithaca
596,314,Jackson St.
597,315,Jacksonville St.
598,316,Jacksonville
599,317,James Madison
600,506057,Jamestown
601,506004,Jarvis Christian
602,502395,John Brown
603,320,John Carroll
604,321,John Jay
605,506488,John Wesley
606,322,Johns Hopkins
607,30046,JWU (Denver)
608,22626,JWU (Providence)
609,501712,Johnson (FL)
610,502420,Johnson (TN)
611,323,Johnson C. Smith
612,502441,Judson (AL)
613,502440,Judson (IL)
614,325,Juniata
615,506375,JWU (Charlotte)
616,506232,JWU (North Miami)
617,326,Kalamazoo
618,328,Kansas
619,506254,Kansas Christian
620,327,Kansas St.
621,506103,Kan. Wesleyan
622,329,Kean
623,330,Keene St.
624,506200,Keiser
625,1157,Kennesaw St.
626,331,Kent St.
627,506423,Kent St.-Tuscarawas
628,334,Kentucky
629,502500,Ky. Christian
630,332,Kentucky St.
631,333,Ky. Wesleyan
632,335,Kenyon
633,1159,Keuka
634,30047,Keystone
635,30051,King (TN)
636,502530,King's (NY)
637,336,King's (PA)
638,506500,King's U. (CAN)
639,337,Knox
640,339,Kutztown
641,506435,Kwantlen Tech (CAN)
642,1163,La Roche
643,340,La Salle
644,502567,La Sierra
645,341,La Verne
646,342,Lafayette
647,1162,LaGrange
648,2746,Lake Erie
649,344,Lake Forest
650,345,Lake Superior St.
651,506152,Lakehead (CAN)
652,1164,Lakeland
653,346,Lamar University
654,506477,Lambton (CAN)
655,30085,Lancaster Bible
656,1167,Lander
657,506491,Landmark Col.
658,347,Lane
659,506507,Langara (CAN)
660,506054,Langston
661,8486,Lasell
662,506404,Lawrence Tech
663,348,Lawrence
664,349,Le Moyne
665,351,Lebanon Valley
666,30013,Lee
667,13302,Lees-McRae
668,352,Lehigh
669,279,Lehman
670,350,LeMoyne-Owen
671,1170,Lenoir-Rhyne
672,24317,Lesley
673,506429,Lethbridge (CAN)
674,8490,LeTourneau
675,22235,Lewis & Clark
676,354,Lewis
677,506318,Lewis-Clark St.
678,355,Liberty
679,502694,Life (GA)
680,502695,LIFE Pacific
681,1174,Limestone
682,506532,Lincoln (IL)
683,502715,Lincoln Christian
684,1176,Lincoln Memorial
685,356,Lincoln (MO)
686,357,Lincoln (PA)
687,506373,Lindenwood (IL)
688,30136,Lindenwood (MO)
689,502727,Lindsey Wilson
690,1179,Linfield
691,28600,Lipscomb
692,359,Livingstone
693,360,Lock Haven
694,99,Long Beach St.
695,361,LIU
696,363,Longwood
697,364,Loras
698,1182,Louisiana Col.
699,365,LSU
700,506339,LSU-Alexandria
701,502787,LSU-Shreveport
702,366,Louisiana Tech
703,671,Louisiana
704,498,La.-Monroe
705,367,Louisville
706,506385,Lourdes
707,502812,Loyola (LA)
708,370,LMU (CA)
709,371,Loyola Chicago
710,369,Loyola Maryland
711,30177,Lubbock Christian
712,372,Luther
713,373,Lycoming
714,374,Lynchburg
715,20794,Lynn
716,506408,Lyon
717,376,Macalester
718,377,MacMurray
719,502867,Madonna
720,502877,Me.-Augusta
721,502885,Me.-Fort Kent
722,502890,Me.-Machias
723,378,Maine Maritime
724,380,Maine
725,379,Me.-Farmington
726,30040,Me.-Presque Isle
727,30137,Malone
728,1192,Manchester
729,381,Manhattan
730,502922,Manhattan Chrst.
731,382,Manhattanville
732,506363,Manitoba (CAN)
733,384,Mansfield
734,1194,Maranatha Baptist
735,502945,Marian (IN)
736,1196,Marian (WI)
737,385,Marietta
738,386,Marist
739,478,SUNY Maritime
740,387,Marquette
741,1199,Mars Hill
742,388,Marshall
743,8597,Martin Luther
744,502981,Martin Methodist
745,30075,Mary
746,389,Mary Baldwin
747,1203,Mary Hardin-Baylor
748,390,Mary Washington
749,505182,Marycrest Int'l
750,393,UMES
751,391,UMBC
752,392,Maryland
753,506383,Marymount (CA)
754,394,Marymount (VA)
755,396,Maryville (TN)
756,395,Maryville (MO)
757,397,Marywood
758,486,MCLA
759,398,MIT
760,399,Mass. Maritime
761,400,Massachusetts
762,401,UMass Boston
763,656,UMass Dartmouth
764,368,UMass Lowell
765,503033,Master's
766,502225,Mayville St.
767,773,McDaniel
768,503037,McGill (CAN)
769,30138,McKendree
770,506510,McMaster (CAN)
771,8530,McMurry
772,402,McNeese
773,506039,McPherson
774,23725,Medaille
775,403,Medgar Evers
776,404,Memphis
777,506392,Menlo
778,406,Mercer
779,407,Mercy
780,408,Mercyhurst
781,409,Meredith
782,410,Merrimack
783,411,Messiah
784,412,Methodist
785,413,MSU Denver
786,415,Miami (FL)
787,506146,Miami-Hamilton
788,503122,Miami-Middletown
789,414,Miami (OH)
790,418,Michigan
791,503130,Mich.-Dearborn
792,416,Michigan St.
793,417,Michigan Tech
794,503153,Mid-Amer. Christian
795,506199,Mid-Atlantic Christ.
796,506041,MidAmerica Naz.
797,506486,Middle Ga. St.
798,419,Middle Tenn.
799,420,Middlebury
800,506060,Midland
801,503175,Midway
802,1222,Midwestern St.
803,422,Miles
804,423,Millersville
805,503195,Milligan
806,424,Millikin
807,425,Mills
808,426,Millsaps
809,20220,MSOE
810,383,Minnesota St.
811,1240,MSU Moorhead
812,27854,Minn.-Crookston
813,427,Minn. Duluth
814,428,Minnesota
815,1226,Minn.-Morris
816,30125,Minot St.
817,16142,Misericordia
818,433,Ole Miss
819,429,Mississippi Col.
820,430,Mississippi St.
821,431,MUW
822,432,Mississippi Val.
823,503262,Mo. Baptist
824,435,Missouri S&T
825,9012,Mo. Southern St.
826,669,Missouri St.
827,506068,Missouri Valley
828,9013,Missouri Western
829,434,Missouri
830,2707,Kansas City
831,436,Mo.-St. Louis
832,30042,Mitchell
833,503297,Mobile
834,506431,Mohawk (CAN)
835,437,Molloy
836,438,Monmouth (IL)
837,439,Monmouth
838,441,Montana
839,205,Mont. St. Billings
840,440,Montana St.
841,503735,Mont. St.-Northern
842,506022,Montana Tech
843,506024,Montana Western
844,442,Montclair St.
845,1238,Montevallo
846,503331,Montreat
847,503332,Moody Bible
848,443,Moravian
849,444,Morehead St.
850,445,Morehouse
851,446,Morgan St.
852,506400,Morningside
853,503365,Morris
854,30067,Morrisville St.
855,30036,Mount Aloysius
856,449,Mount Holyoke
857,503374,Mt. Marty
858,30033,Mount Mary
859,503377,Mt. Mercy
860,1245,Mount Olive
861,506455,Mt. Royal (CAN)
862,8567,Mt. St. Joseph
863,451,CMSV
864,1468,Mt. St. Mary (NY)
865,450,Mount St. Mary's
866,452,Mount Union
867,503405,Mt. Vernon Naz.
868,453,Muhlenberg
869,503415,Multnomah
870,454,Murray St.
871,455,Muskingum
872,461,Nazareth
873,503447,Neb. Christian
874,464,Omaha
875,462,Neb. Wesleyan
876,1156,Neb.-Kearney
877,463,Nebraska
878,1254,Neumann
879,465,UNLV
880,466,Nevada
881,1255,U New England
882,467,New England Col.
883,469,New Hampshire
884,470,New Haven
885,501620,New Hope Christian
886,319,New Jersey City
887,471,NJIT
888,712,TCNJ
889,473,New Mexico
890,8577,N.M. Highlands
891,472,New Mexico St.
892,474,New Orleans
893,475,SUNY New Paltz
894,506480,New School
895,477,New York Tech
896,479,NYU
897,1257,Newberry
898,30054,Newman
899,482,Niagara
900,483,Nicholls St.
901,484,Nichols
902,485,Norfolk St.
903,487,North Ala.
904,456,UNC Asheville
905,488,N.C. A&T
906,489,N.C. Central
907,490,NC State
908,491,N.C. Wesleyan
909,460,UNCW
910,457,North Carolina
911,458,Charlotte
912,459,UNC Greensboro
913,537,UNC Pembroke
914,492,North Central (IL)
915,30039,North Central (MN)
916,494,North Dakota
917,493,North Dakota St.
918,2711,North Florida
919,30052,North Georgia
920,9223,North Greenville
921,496,North Park
922,497,North Texas
923,506547,North Texas-Dallas
924,30065,NVU-Lyndon
925,12810,Northeastern St.
926,500,Northeastern
927,501,Northern Ariz.
928,506456,Northern B.C. (CAN)
929,502,Northern Colo.
930,503,Northern Ill.
931,504,UNI
932,505,Northern Ky.
933,506,Northern Mich.
934,506343,Northern N.M.
935,1266,Northern St.
936,324,NVU-Johnson
937,1267,Northland
938,503796,Northwest (WA)
939,503780,Northwest Chrst.
940,506481,Northwest Indian
941,507,Northwest Mo. St.
942,1274,Northwest Nazarene
943,506072,Northwestern (IA)
944,506330,Northwestern Ohio
945,30178,Northwestern Okla.
946,508,Northwestern St.
947,509,Northwestern
948,30031,Northwestern-St. Paul
949,510,Northwood
950,511,Norwich
951,513,Notre Dame
952,8600,Notre Dame (MD)
953,30126,Notre Dame (OH)
954,30056,Notre Dame de Namur
955,24639,Nova Southeastern
956,1277,Nyack
957,506501,Oak Hills Christian
958,1278,Oakland City
959,514,Oakland
960,506086,Oakwood
961,515,Oberlin
962,516,Occidental
963,2713,Oglethorpe
964,506333,Ohio Christian
965,30119,Ohio Dominican
966,517,Ohio Northern
967,518,Ohio St.
968,519,Ohio
969,15207,Ohio Valley
970,520,Ohio Wesleyan
971,503863,Ohio-Chillicothe
972,503865,Ohio-Eastern
973,506281,Ohio-Lancaster
974,506515,Okla. Panhandle
975,522,Oklahoma
976,30202,Okla. Baptist
977,30179,Okla. Christian
978,503905,Oklahoma City
979,521,Oklahoma St.
980,506189,Okla. Wesleyan
981,523,Old Dominion
982,524,Old Westbury
983,525,Olivet
984,506045,Olivet Nazarene
985,526,SUNY Oneonta
986,527,Oral Roberts
987,529,Oregon
988,528,Oregon St.
989,500078,Oregon Tech
990,530,Oswego St.
991,506513,Ottawa (AZ)
992,506046,Ottawa (KS)
993,531,Otterbein
994,1289,Ouachita Baptist
995,503987,Our Lady of the Lake
996,503990,Ozark Christian
997,504000,Ozarks (MO)
998,23008,Ozarks (AR)
999,533,Pace
1000,534,Pacific
1001,1297,Pacific Lutheran
1002,506090,Pacific Union
1003,2751,Pacific (OR)
1004,535,Paine
1005,30045,Palm Beach Atl.
1006,506544,Park (AZ)
1007,504050,Park (MO)
1008,504055,Paul Quinn
1009,506239,Paul Smiths
1010,30190,Penn College
