outcome,location,color,Total,type,line.type,x,y
home,3B line,turquoise,home 3B,19,1,-3.06,3.965
,,,,,,,
home,center,turquoise,home center,19,1,0,4.3
,,,,,,,
home,cf,turquoise,home cf,19,1,0,4.3
,,,,,,,
home,left,turquoise,home left,19,1,-2.2,3.2
,,,,,,,
home,left center,turquoise,home left center,19,1,-0.6,4.3
,,,,,,,
home,left field line,turquoise,home left field line,19,1,-1.75,3.2
,,,,,,,
home,lf,turquoise,home lf,19,1,-0.8,3.6
,,,,,,,
home,lf line,turquoise,home lf line,19,1,-1.75,3.2
,,,,,,,
home,rf,turquoise,home rf,19,1,0.8,4.2
,,,,,,,
home,rf line,turquoise,home rf  line,19,1,1.5,3.2
,,,,,,,
home,right,turquoise,home right,19,1,2.2,3.2
,,,,,,,
home,right center,turquoise,home right center,19,1,0.6,4.3
,,,,,,,
home,right field line,turquoise,home right field line,19,1,1.5,3.2
,,,,,,,
line, ss,black,line  ss,1,2,-0.4,1.6
,,,,,,,
line,1b,black,line 1b,1,2,0.8,1.2
,,,,,,,
line,2b,black,line 2b,1,2,0.4,1.6
,,,,,,,
line,3b,black,line 3b,1,2,-0.8,1.2
,,,,,,,
line,cf,black,line cf,1,2,0,2.5
,,,,,,,
line,lf,black,line lf,1,2,-1.2,2
,,,,,,,
line,rf,black,line rf,1,2,1.2,2
,,,,,,,
lined, ss,black,lined  ss,1,2,-0.4,1.6
,,,,,,,
lined,1b,black,lined 1b,1,2,0.8,1.2
,,,,,,,
lined,2b,black,lined 2b,1,2,0.4,1.6
,,,,,,,
lined,3b,black,lined 3b,1,2,-0.8,1.2
,,,,,,,
lined,cf,black,lined cf,1,2,0,2.5
,,,,,,,
lined,lf,black,lined lf,1,2,-1.2,2
,,,,,,,
lined,rf,black,lined rf,1,2,1.2,2
,,,,,,,
lines, ss,black,lines  ss,1,2,-0.4,1.6
,,,,,,,
lines,1b,black,lines 1b,1,2,0.8,1.2
,,,,,,,
lines,2b,black,lines 2b,1,2,0.4,1.6
,,,,,,,
lines,3b,black,lines 3b,1,2,-0.8,1.2
,,,,,,,
lines,cf,black,lines cf,1,2,0,2.5
,,,,,,,
lines,lf,black,lines lf,1,2,-1.2,2
,,,,,,,
lines,rf,black,lines rf,1,2,1.2,2
,,,,,,,
out at, p ,blue,out at  p ,1,2,0.2,0.8
,,,,,,,
out at, p.,blue,out at  p.,1,2,0.2,0.8
,,,,,,,
out at,pitcher,blue,out at pitcher,1,2,0.2,0.8
,,,,,,,
out at," p,",blue,"out at  p,",1,2,0.2,0.8
,,,,,,,
out at, ss,blue,out at  ss,1,2,-0.4,1.3
,,,,,,,
out at,1b,blue,out at 1b,1,2,0.8,1.2
,,,,,,,
out at,2b,blue,out at 2b,1,2,0.4,1.3
,,,,,,,
out at,3b,blue,out at 3b,1,2,-0.75,1.2
,,,,,,,
out at , c ,blue,out at  c ,1,2,0,0.4
,,,,,,,
out at , c.,blue,out at  c.,1,2,0,0.4
,,,,,,,
out at ,catcher,blue,out at catcher,1,2,0,0.4
,,,,,,,
out at ," c,",blue,"out at  c,",1,2,0,0.4
,,,,,,,
grounded, c ,blue,grounded  c ,1,2,0,0.4
,,,,,,,
grounded, c.,blue,grounded  c.,1,2,0,0.4
,,,,,,,
grounded," c,",blue,"grounded  c,",1,2,0,0.4
,,,,,,,
grounded,catcher,blue,grounded catcher,1,2,0,0.4
,,,,,,,
pop, ss,red,pop  ss,1,2,-0.4,1.6
,,,,,,,
pop,1b,red,pop 1b,1,2,0.8,1.2
,,,,,,,
pop,2b,red,pop 2b,1,2,0.4,1.6
,,,,,,,
pop,3b,red,pop 3b,1,2,-0.8,1.2
,,,,,,,
pop,cf,red,pop cf,1,2,0,2.2
,,,,,,,
pop,lf,red,pop lf,1,2,-1.5,2.2
,,,,,,,
pop,rf,red,pop rf,1,2,1.5,2.2
,,,,,,,
single, ss,green,single  ss,19,1,-0.7,1.5
,,,,,,,
single,1b,blue,single 1b,19,1,0.7,1.5
,,,,,,,
single,1B line,green,single 1B line,19,1,2.01,2.64
,,,,,,,
single,2b,green,single 2b,19,1,0.7,1.5
,,,,,,,
single,3b,blue,single 3b,19,1,-0.7,1.5
,,,,,,,
single,3B line,green,single 3B line,19,1,-2.68,3.57
,,,,,,,
single,center,green,single center,19,1,0,2.2
,,,,,,,
single,cf,green,single cf,19,1,0,2.2
,,,,,,,
single,first base,blue,single first base,19,1,0.7,1.5
,,,,,,,
single,left,green,single left,19,1,-1,1.8
,,,,,,,
single,left center,green,single left center,19,1,-0.8,2.2
,,,,,,,
single,left field line,green,single left field line,19,1,-1.2,1.8
,,,,,,,
single,lf,green,single lf,19,1,-1.2,1.8
,,,,,,,
single,lf line,green,single lf line,19,1,-1.4,1.8
,,,,,,,
single,middle,green,single middle,19,1,0,2.2
,,,,,,,
single, p ,blue,single  p ,19,1,0,0.6
,,,,,,,
single, p.,blue,single  p.,19,1,0,0.6
,,,,,,,
single,pitcher,blue,single pitcher,19,1,0,0.6
,,,,,,,
single,rf,green,single rf,19,1,1,1.8
,,,,,,,
single,rf line,green,single rf line,19,1,1.4,1.6
,,,,,,,
